pattern_id,tag,title,canonical_code,alternative_code,adaptation,status
PAT-ALG-SORTING-001,alg:sorting,Signed and unsigned array sorting,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\array_scan_word.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2023-02-07_Sort_FreeRunning_Timer\Source\exam\exam_asm.s,"Change element width/signed load, comparison condition, and length.",COMPILED_CODE
PAT-ALG-RECURRENCE-001,alg:recurrence,Bounded recurrence into an array,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\recurrence_into_array.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2026-02-03_ARM3_Recaman_ADC_Timer\Source\exam\exam_asm.s,Change the seed block and the one recurrence-rule block; keep the array ABI.,COMPILED_CODE
PAT-ALG-GRAPH-SEARCH-001,alg:graph-search,Matrix and graph traversal,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\matrix_row_major_byte.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2025-01-29_ARM2_Matrix_Two_Timers\Source\exam\exam_asm.s,Keep row-major addressing; replace only neighbor/edge acceptance and termination policy.,COMPILED_CODE
PAT-ALG-FREQUENCY-COUNT-001,alg:frequency-count,Frequency-count comparison,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2026-06-25_ARM1_BullsAndCows\Source\exam\exam_asm.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2026-06-25_ARM2_Mastermind\Source\exam\exam_asm.s,Choose frequency counters for a small value range or used markers for general values.,COMPILED_CODE
PAT-ALG-FIXED-POINT-001,alg:fixed-point,Fixed-point multiply and recurrence,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\fixed_point_recurrence.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2025-02-12_ARM1_Sine_DAC\Source\exam\exam_asm.s,Change Q format and coefficients; recalculate the post-SMULL shift.,COMPILED_CODE
PAT-FLOW-NESTED-LOOP-001,flow:nested-loop,Nested loops with preserved outer state,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\nested_search_with_break.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\packed_bit_matrix.s,Keep outer state in preserved registers and reset the inner index at each outer iteration.,COMPILED_CODE
PAT-FLOW-EARLY-BREAK-001,flow:early-break,Balanced early exit from inner search,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\nested_search_with_break.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2026-06-25_ARM2_Mastermind\Source\exam\exam_asm.s,Branch to one named inner-loop exit; do not bypass stack restoration.,COMPILED_CODE
PAT-MEM-BYTE-ARRAY-001,mem:byte-array,Signed and unsigned byte arrays,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\matrix_row_major_byte.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\array_scan_word.s,Use LDRB for unsigned bytes or LDRSB for signed bytes; index scale is one.,COMPILED_CODE
PAT-MEM-WORD-ARRAY-001,mem:word-array,Word-array traversal,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\array_scan_word.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\recurrence_into_array.s,"Use LSL #2 scaled addressing and pass element count, not byte count.",COMPILED_CODE
PAT-MEM-MATRIX-ROW-MAJOR-001,mem:matrix-row-major,Row-major matrix addressing,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\matrix_row_major_byte.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\02_algorithms\packed_bit_matrix.s,"Compute row * columns + column, then apply the element-size or packed-bit transform.",COMPILED_CODE
PAT-AAPCS-FOUR-ARGS-001,abi:four-register-args,Four-register argument contract,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2026-06-25_ARM1_BullsAndCows\Source\exam\exam_asm.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2026-06-25_ARM2_Mastermind\Source\exam\exam_asm.s,Move long-lived R0-R3 pointers into preserved registers before reusing argument registers.,COMPILED_CODE
PAT-AAPCS-STACKED-ARGS-001,abi:stacked-args,Fifth and later arguments,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\01_aapcs\five_to_seven_arguments.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\01_aapcs\nonleaf_function.s,Capture the caller's original SP before PUSH and calculate offsets from that value.,COMPILED_CODE
PAT-AAPCS-NONLEAF-001,abi:nonleaf,Non-leaf prologue and epilogue,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\01_aapcs\nonleaf_function.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\solved_exam_examples\2023-07-04_Sociable_Timer\Source\exam\exam_asm.s,Save LR before the first BL and save an even total number of registers.,COMPILED_CODE
PAT-CPU-FLAGS-001,cpu:flags,APSR flag contract,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\04_rare_dangerous\apsr_flags.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\04_rare_dangerous\two_word_arithmetic.s,Use the S-suffixed arithmetic instruction that naturally creates the required flags.,COMPILED_CODE
PAT-CPU-SVC-001,cpu:svc,SVC immediate decoding,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\04_rare_dangerous\svc_handler.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\04_rare_dangerous\reset_handler.s,Decode the byte at stacked PC-2 and write return values into the stacked frame.,COMPILED_CODE
PAT-CPU-EXCEPTION-FRAME-001,cpu:exception-frame,MSP/PSP exception-frame selection,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\04_rare_dangerous\svc_handler.s,C:\Personal\College\CA 2026\CA\ARM_Exam_Ready_Package\deliverables\selected_arm_kit\templates\04_rare_dangerous\reset_handler.s,Test EXC_RETURN bit 2 before selecting MSP or PSP; preserve EXC_RETURN in LR.,COMPILED_CODE
