"pattern_id","priority","tag","title","question_count","exam_ids","question_ids","c_source","arm_source","c_status","arm_status"
"PAT-ALG-SORTING-001","ESTABLISHED_ATLAS","alg:sorting","Signed and unsigned array sorting","2","E2023-02-07;E2023-02-24","E2023-02-07-Q1;E2023-02-24-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-ALG-RECURRENCE-001","ESTABLISHED_ATLAS","alg:recurrence","Bounded recurrence into an array","10","E2023-02-24;E2023-07-04;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2","E2023-02-24-Q1;E2023-02-24-Q2;E2023-07-04-Q1;E2025-02-12-A1-Q1;E2025-02-12-A2-Q1;E2025-07-01-A1-Q2;E2025-07-01-A2-Q2;E2026-02-03-A3-Q1;E2026-02-18-A1-Q1;E2026-02-18-A2-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-ALG-GRAPH-SEARCH-001","ESTABLISHED_ATLAS","alg:graph-search","Matrix and graph traversal","4","E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16","E2024-02-12-Q1;E2024-02-28-Q1;E2024-07-09-Q1;E2024-09-16-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-ALG-FREQUENCY-COUNT-001","ESTABLISHED_ATLAS","alg:frequency-count","Frequency-count comparison","2","E2026-06-25-B1;E2026-06-25-B2","E2026-06-25-B1-Q1;E2026-06-25-B2-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-ALG-FIXED-POINT-001","ESTABLISHED_ATLAS","alg:fixed-point","Fixed-point multiply and recurrence","2","E2025-02-12-A1;E2025-02-12-A2","E2025-02-12-A1-Q1;E2025-02-12-A2-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-FLOW-NESTED-LOOP-001","ESTABLISHED_ATLAS","flow:nested-loop","Nested loops with preserved outer state","12","E2023-02-07;E2023-02-24;E2023-07-04;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-02-03-A1;E2026-02-03-A3;E2026-06-25-B2","E2023-02-07-Q1;E2023-02-24-Q1;E2023-07-04-Q1;E2024-02-12-Q1;E2024-02-28-Q1;E2024-09-16-Q1;E2025-01-29-A1-Q1;E2025-01-29-A2-Q1;E2025-01-29-A3-Q1;E2026-02-03-A1-Q1;E2026-02-03-A3-Q1;E2026-06-25-B2-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-FLOW-EARLY-BREAK-001","ESTABLISHED_ATLAS","flow:early-break","Balanced early exit from inner search","5","E2023-02-07;E2024-02-12;E2025-01-29-A2;E2026-02-03-A2;E2026-06-25-B2","E2023-02-07-Q1;E2024-02-12-Q1;E2025-01-29-A2-Q1;E2026-02-03-A2-Q1;E2026-06-25-B2-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-MEM-BYTE-ARRAY-001","ESTABLISHED_ATLAS","mem:byte-array","Signed and unsigned byte arrays","16","E2023-02-07;E2024-02-12;E2024-02-28;E2024-07-09;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-02-03-A1;E2026-02-03-A2","E2023-02-07-Q1;E2024-02-12-Q1;E2024-02-12-Q2;E2024-02-28-Q1;E2024-07-09-Q1;E2024-07-09-Q2;E2025-01-29-A1-Q1;E2025-01-29-A1-Q2;E2025-01-29-A2-Q1;E2025-01-29-A2-Q2;E2025-01-29-A3-Q1;E2025-01-29-A3-Q2;E2026-02-03-A1-Q1;E2026-02-03-A1-Q2;E2026-02-03-A2-Q1;E2026-02-03-A2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-MEM-WORD-ARRAY-001","ESTABLISHED_ATLAS","mem:word-array","Word-array traversal","17","E2023-07-04;E2023-09-18;E2024-09-16;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","E2023-07-04-Q1;E2023-09-18-Q2;E2024-09-16-Q1;E2025-02-12-A1-Q1;E2025-02-12-A2-Q1;E2025-07-01-A1-Q2;E2025-07-01-A2-Q2;E2026-02-03-A3-Q1;E2026-02-03-A3-Q2;E2026-02-18-A1-Q1;E2026-02-18-A1-Q2;E2026-02-18-A2-Q1;E2026-02-18-A2-Q2;E2026-06-25-B1-Q1;E2026-06-25-B1-Q2;E2026-06-25-B2-Q1;E2026-06-25-B2-Q2","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
"PAT-MEM-MATRIX-ROW-MAJOR-001","ESTABLISHED_ATLAS","mem:matrix-row-major","Row-major matrix addressing","9","E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3","E2024-02-12-Q1;E2024-02-12-Q2;E2024-02-28-Q1;E2024-07-09-Q1;E2024-09-16-Q1;E2025-01-29-A1-Q1;E2025-01-29-A2-Q1;E2025-01-29-A2-Q2;E2025-01-29-A3-Q1","","","SEE_PATTERN_PAGE","SEE_PATTERN_PAGE"
