"question_id","date","question","requirement_summary","keywords","answer_file","function_or_handler","argument_mapping","architecture","constants","peripheral_tags","interrupt_tags","timing_tags","architecture_tags","algorithm_tags","usage_tags"
"2023-02-07-Q1","2023-02-07","Q1","Copy signed bytes into byte storage, then sort ascending with insertion sort.","copy signed-byte insertion-sort array ABI","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-07-q1/assembly.s","copyData; insertionSort","void copyData(const int8_t *source, int8_t *destination, uint32_t length): R0=source, R1=destination, R2=byte count. void insertionSort(int8_t *values, uint32_t length): R0=array, R1=count. Both return void. Destination has at least length bytes; sorting changes only that destination.","assembly algorithm","signed byte storage","","","","ABI","Arrays|Sorting","Complete recipe"
"2023-02-07-Q2","2023-02-07","Q2","Capture characters with INT0 using Timer1 and alternate LEDs 6/7; KEY1 sorts and lights LED11.","Timer1 modulo INT0 KEY1 raw interrupt LED sort","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-07-q2/main.c","EINT0_IRQHandler; EINT1_IRQHandler","Timer1 resets at MR0=0xFF with no match interrupt. Each accepted INT0 interrupt stores its low byte as signed data, up to MAX_VALUES=20. KEY1 sorts the initialized prefix and then lights physical LED11.","C peripherals + IRQ","Timer1 MR0=0xFF; reset without match IRQ","LED|Buttons|Timer1","EINT|Acknowledgement","Modulo|Capture","","Sorting","Complete recipe|Professor interface|Exam API"
"2023-02-24-Q1","2023-02-24","Q1","Perform one four-digit Kaprekar transformation and return the difference.","Kaprekar digit frequency sort 6174 loop","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-24-q1/assembly.s","KaprekarRoutine; SVC_Handler","uint32_t KaprekarRoutine(uint32_t a): R0=a on entry, R0=descending_digits(a)-ascending_digits(a) on return. The paper starts with a four-digit unsigned value 1000..9999. This function performs ONE transformation, not the entire sequence.","assembly algorithm","four-digit input 1000..9999; one transformation","","","","","Sorting|Decimal","Complete recipe"
"2023-02-24-Q2","2023-02-24","Q2","Handle SVC #50 using the MSP frame and return the number of Kaprekar calls in live R6.","SVC exception stack frame MSP PSP immediate handler","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-24-q2/assembly.s","KaprekarRoutine; SVC_Handler","SVC_Handler handles SVC #50. The caller uses MSP. Read its stacked R0, repeatedly call KaprekarRoutine, and leave the number of calls in LIVE R6. The basic hardware frame does not contain R6.","exception handler","SVC #50","","","Delays","SVC|Exceptions","Decimal","Complete recipe|Direct registers"
"2023-05-17-Q1","2023-05-17","Q1","Divide a signed 64-bit dividend by a signed 32-bit divisor without MUL and return a signed 32-bit quotient.","signed division 64 32 long-division two-word no-mul ABI","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-05-17-q1/assembly.s","SDIV64; SDIV64S","int32_t SDIV64(int32_t U, uint32_t L, int32_t D): R0=upper word, R1=lower word, R2=divisor; return quotient in R0. Treat U:L as one signed 64-bit dividend. No multiplication is used.","assembly arithmetic","32 quotient iterations","","","","ABI","Arithmetic","Complete recipe"
"2023-05-17-Q2","2023-05-17","Q2","Extend signed 64/32 division with the requested N, Z, C and V result flags.","APSR NZCV signed division overflow flags","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-05-17-q2/assembly.s","SDIV64; SDIV64S","SDIV64S takes the same U, L, D arguments and returns R0 plus APSR flags: N=result bit 31, Z=(result==0), C=0. This answer follows the paper’s explicit V test: V=0 iff floor(abs(D)/2)>abs(U). Preserve Q and non-NZCV state.","assembly arithmetic + flags","NZCV","","","","","Arithmetic","Complete recipe"
"2023-07-04-Q1","2023-07-04","Q1","Generate and validate a sociable-number chain, stopping within eight elements.","sociable aliquot proper-divisor sum cycle array","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-07-04-q1/assembly.s","isSociable","uint32_t isSociable(uint32_t n): R0=n; return the first cycle length 1..8 that returns to n, or zero. There is no output-array argument. Natural inputs are treated as positive integers.","assembly algorithm","maximum 8 elements","","","","","Arrays|Recurrence","Complete recipe"
"2023-07-04-Q2","2023-07-04","Q2","Every two seconds test the next source value and display the result as a one-hot LED value.","Timer1 periodic 2s LED one-hot sociable","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-07-04-q2/main.c","TIMER1_IRQHandler","Timer1 runs every 2000 ms. Its handler cycles through [8128, 5564, 5400, 14264, 1305184, 1598470, 4938136], calls isSociable, and maps results1..8 to physical LEDs 4..11; zero means all off.","C timer + IRQ","2000 ms","LED|Timer1","Timer IRQ|Acknowledgement","Periodic|Delays","","Arrays|Recurrence","Complete recipe|Professor interface|Exam API"
"2023-09-18-Q1","2023-09-18","Q1","Build the digit-addition series in memory and return the accumulated digit sum, returning zero on overflow.","digit sum series overflow carry memory","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-09-18-q1/assembly.s","digitSum; digitaddition; Reset_Handler","uint32_t digitSum(uint32_t a) returns its decimal digit sum. uint32_t digitaddition(uint32_t *area, uint32_t N) fills N words including area[0], then returns the sum of digits of ALL N stored terms. Return zero immediately if generating a term overflows uint32_t. Q1 also requires a 50-word area and a chosen initial value in Reset_Handler.","assembly algorithm","50 words in Q1 startup; uint32_t overflow returns zero","","","","","Arrays|Arithmetic|Decimal","Complete recipe"
"2023-09-18-Q2","2023-09-18","Q2","Raw button interrupts compose binary K; INT0 builds the series and checks the stated identity on LEDs 4/5.","buttons raw INT0 KEY1 KEY2 binary K identity LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-09-18-q2/main.c","EINT0_IRQHandler; EINT1_IRQHandler; EINT2_IRQHandler","KEY1 appends binary 0 to K; KEY2 appends1. INT0 sets series[0]=K and requests10 terms. Compare the reported sum with last-first+digitSum(last). Equal: LED4 on/LED5 off; unequal: the reverse.","C state machine + IRQ","10 terms; 32-bit binary K; LEDs4/5","LED|Buttons","EINT|Acknowledgement","","C-to-assembly","","Complete recipe|Professor interface|Exam API"
