question_id,exam_id,question,delivery_mode,requirement,source_pdf,source_sha256,tags,pattern_ids,simulator_status,hardware_status,physical_status
E2023-02-07-Q1,E2023-02-07,Q1,ASM,"Copy signed byte values into a working array, then perform insertion sort while preserving signed ordering and array bounds.",Exams/22-23/20230207 arm.pdf,77929b413afda671274838630078b32bbebe1e643e1102a00412a7209879ce26,abi:nonleaf;alg:sorting;cpu:svc;flow:early-break;flow:nested-loop;mem:byte-array;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-ALG-SORTING-001;PAT-CPU-SVC-001;PAT-FLOW-EARLY-BREAK-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-02-07-Q2,E2023-02-07,Q2,C + ASM call,Use Timer1 as a free-running counter reset at 0xFF without an IRQ; INT0 captures array data and alternates LEDs 6/7; KEY1 invokes the assembly sort.,Exams/22-23/20230207 arm.pdf,77929b413afda671274838630078b32bbebe1e643e1102a00412a7209879ce26,abi:nonleaf;alg:sorting;board:gpio;board:timer;flow:nested-loop;risk:irq-shared-state;risk:vector-ownership;state:debounce;timing:free-running,PAT-AAPCS-NONLEAF-001;PAT-ALG-SORTING-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-FLOW-NESTED-LOOP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-VECTOR-OWNERSHIP-001;PAT-STATE-DEBOUNCE-001;PAT-TIMER-FREE-RUNNING-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-02-24-Q1,E2023-02-24,Q1,ASM,"Implement the Kaprekar digit transformation, including digit extraction, reordering, subtraction and repeated convergence logic.",Exams/22-23/20230224 arm.pdf,ebd2df9c75ec7e24bd6f76515a3b06cdfcec78b7e5aea7d33d977761fa0dc0a4,abi:nonleaf;alg:recurrence;alg:sorting;flow:nested-loop;mem:matrix-row-major;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-ALG-RECURRENCE-001;PAT-ALG-SORTING-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-02-24-Q2,E2023-02-24,Q2,ASM exception,"Handle SVC #50, locate the correct exception stack frame, decode the SVC immediate from the instruction before stacked PC, repeatedly call the Kaprekar routine, and return the iteration count in R6.",Exams/22-23/20230224 arm.pdf,ebd2df9c75ec7e24bd6f76515a3b06cdfcec78b7e5aea7d33d977761fa0dc0a4,abi:nonleaf;alg:recurrence;cpu:exception-frame;cpu:svc;flow:nested-loop;mem:byte-array;mem:matrix-row-major;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-ALG-RECURRENCE-001;PAT-CPU-EXCEPTION-FRAME-001;PAT-CPU-SVC-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-05-17-Q1,E2023-05-17,Q1,ASM,"Divide a signed 64-bit dividend by a signed 32-bit divisor without MUL, using sign normalization, a 64-bit shift/subtract loop, and quotient-bit construction.",Exams/22-23/20230517 arm.pdf,94a30856a4f9a56bb908dbab2def2de9fee9973a4471ac5111399a992509bbab,board:adc;cpu:flags;flow:nested-loop;mem:matrix-row-major;risk:stack-alignment,PAT-ADC-SAMPLE-001;PAT-CPU-FLAGS-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-05-17-Q2,E2023-05-17,Q2,ASM flags,"Set or report the required N, Z, C and V status according to the division outcome using program-status-register operations.",Exams/22-23/20230517 arm.pdf,94a30856a4f9a56bb908dbab2def2de9fee9973a4471ac5111399a992509bbab,abi:nonleaf;cpu:flags;mem:matrix-row-major;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-CPU-FLAGS-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-07-04-Q1,E2023-07-04,Q1,ASM,"Compute aliquot sums and detect a sociable-number sequence using divisor tests, nested loops and subroutine calls.",Exams/22-23/20230704 arm.pdf,00b04fb9ee48348d35f760dc4be463f251c7e107e6fece712f732e2ce8e0a82c,abi:nonleaf;alg:recurrence;flow:nested-loop;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-ALG-RECURRENCE-001;PAT-FLOW-NESTED-LOOP-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-07-04-Q2,E2023-07-04,Q2,C + ASM call,"Configure Timer1 for a two-second periodic event, advance a circular sequence array, call the assembly routine, and display the result on LEDs.",Exams/22-23/20230704 arm.pdf,00b04fb9ee48348d35f760dc4be463f251c7e107e6fece712f732e2ce8e0a82c,abi:nonleaf;alg:recurrence;board:gpio;board:timer;mem:word-array;risk:irq-shared-state;state:event-loop;timing:periodic,PAT-AAPCS-NONLEAF-001;PAT-ALG-RECURRENCE-001;PAT-GPIO-EVENT-001;PAT-TIMER-OWNERSHIP-001;PAT-MEM-WORD-ARRAY-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-EVENT-LOOP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-09-18-Q1,E2023-09-18,Q1,ASM,Implement digitSum and digitaddition so one assembly subroutine calls another and reports arithmetic overflow correctly.,Exams/22-23/20230918 arm.pdf,2e6568d814b67ff734004e311accb982e610ba7544cdb5f1f91b324981b7846b,abi:nonleaf;cpu:flags;flow:nested-loop;risk:stack-alignment,PAT-AAPCS-NONLEAF-001;PAT-CPU-FLAGS-001;PAT-FLOW-NESTED-LOOP-001;PAT-AAPCS-STACK-SAFETY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-09-18-Q2,E2023-09-18,Q2,C + ASM call,"Use KEY1 and KEY2 to build a binary value K, trigger processing from INT0, manage arrays, call assembly and show the comparison result on LEDs.",Exams/22-23/20230918 arm.pdf,2e6568d814b67ff734004e311accb982e610ba7544cdb5f1f91b324981b7846b,abi:nonleaf;alg:recurrence;board:gpio;cpu:flags;flow:nested-loop;mem:matrix-row-major;risk:irq-shared-state;state:debounce;state:event-loop,PAT-AAPCS-NONLEAF-001;PAT-ALG-RECURRENCE-001;PAT-GPIO-EVENT-001;PAT-CPU-FLAGS-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-STATE-IRQ-HANDOFF-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
