"question_id","date","question","requirement_summary","keywords","answer_file","function_or_handler","argument_mapping","architecture","constants","peripheral_tags","interrupt_tags","timing_tags","architecture_tags","algorithm_tags","usage_tags"
"2023-02-07-Q1","2023-02-07","Q1","Copy signed bytes into byte storage, then sort ascending with insertion sort.","copy signed-byte insertion-sort array ABI","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-07-q1/assembly.s","copyData; insertionSort","R0 source, R1 destination, R2 length; then R0 array, R1 length","assembly algorithm","signed byte storage","","","","ABI","Arrays|Sorting","Complete recipe"
"2023-02-07-Q2","2023-02-07","Q2","Capture characters with INT0 using Timer1 and alternate LEDs 6/7; KEY1 sorts and lights LED11.","Timer1 free-running INT0 KEY1 debounce LED sort","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-07-q2/main.c","main; EINT0_IRQHandler; EINT1_IRQHandler","Timer1 TC supplies captured value; event bits transfer debounced presses","C peripherals + IRQ","Timer1 modulo 0x100","LED|Buttons|Debounce|Timer1","EINT|Timer IRQ|Acknowledgement|Event Flags","Free-running|Capture","","Sorting","Complete recipe|Professor interface|Exam API"
"2023-02-24-Q1","2023-02-24","Q1","Iterate the four-digit Kaprekar routine until 6174 and return the iteration count.","Kaprekar digit frequency sort 6174 loop","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-24-q1/assembly.s","KaprekarRoutine","R0 four-digit value; R0 iteration count","assembly algorithm","target 6174","","","","","Sorting|Decimal","Complete recipe"
"2023-02-24-Q2","2023-02-24","Q2","Handle SVC number 50, read the stacked argument, run Kaprekar, and return the count through the exception frame.","SVC exception stack frame MSP PSP immediate handler","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-02-24-q2/assembly.s","SVC_Handler","stacked R0 input; stacked R0 output; SVC immediate 50","exception handler","SVC #50","","","Delays","SVC|Exceptions","Decimal","Complete recipe|Direct registers"
"2023-05-17-Q1","2023-05-17","Q1","Divide a signed 64-bit dividend by a signed 32-bit divisor without MUL and return a signed 32-bit quotient.","signed division 64 32 long-division two-word no-mul ABI","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-05-17-q1/assembly.s","SDIV64","R0 upper dividend, R1 lower dividend, R2 divisor; R0 quotient","assembly arithmetic","32 quotient iterations","","","","ABI","Arithmetic","Complete recipe"
"2023-05-17-Q2","2023-05-17","Q2","Extend signed 64/32 division with the requested N, Z, C and V result flags.","APSR NZCV signed division overflow flags","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-05-17-q2/assembly.s","SDIV64S","same arguments as SDIV64; R0 quotient and APSR flags","assembly arithmetic + flags","NZCV","","","","","Arithmetic","Complete recipe"
"2023-07-04-Q1","2023-07-04","Q1","Generate and validate a sociable-number chain, stopping within eight elements.","sociable aliquot proper-divisor sum cycle array","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-07-04-q1/assembly.s","isSociable","R0 start, R1 output area; R0 chain length or zero","assembly algorithm","maximum 8 elements","","","","","Arrays|Recurrence","Complete recipe"
"2023-07-04-Q2","2023-07-04","Q2","Every two seconds test the next source value and display the result as a one-hot LED value.","Timer1 periodic 2s LED one-hot sociable","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-07-04-q2/main.c","main; answer_timer1","Timer1 IRQ advances the source array","C timer + IRQ","2000 ms","LED|Timer1","Timer IRQ|Acknowledgement","Periodic|Delays","","Arrays|Recurrence","Complete recipe|Professor interface|Exam API"
"2023-09-18-Q1","2023-09-18","Q1","Build the digit-addition series in memory and return the accumulated digit sum, returning zero on overflow.","digit sum series overflow carry memory","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-09-18-q1/assembly.s","digitSum; digitaddition","R0 area, R1 count; R0 total or zero","assembly algorithm","unsigned carry detection","","","","","Arrays|Arithmetic|Decimal","Complete recipe"
"2023-09-18-Q2","2023-09-18","Q2","Debounced buttons compose binary K; INT0 builds the series and checks the stated identity on LEDs 4/5.","buttons debounce INT0 KEY1 KEY2 binary K identity LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2023-09-18-q2/main.c","main; EINT0_IRQHandler; EINT1_IRQHandler; EINT2_IRQHandler","button event bits update K and trigger assembly","C state machine + IRQ","K up to 50","LED|Buttons|Debounce","EINT|Acknowledgement|Event Flags","","C-to-assembly","","Complete recipe|Professor interface|Exam API"
"2024-02-12-Q1","2024-02-12","Q1","Propagate maze direction letters from the exit until no additional cells can be labelled.","maze flood-fill propagation N E S W fixed-point","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-12-q1/assembly.s","mazeSolver","R0 rows, R1 columns, R2 flat maze address","assembly maze algorithm","walls # and exit E","","","","","Maze","Complete recipe"
"2024-02-12-Q2","2024-02-12","Q2","Seed an LCG from Timer0, generate the maze on KEY2, then call the assembly solver.","LCG Timer0 KEY2 debounce random maze","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-12-q2/main.c","main; next_random; EINT2_IRQHandler","Timer0 TC seeds LCG; KEY2 event starts generation","C peripherals + algorithm","modulus 101; threshold 18","Buttons|Debounce|Timer0","EINT|Timer IRQ|Acknowledgement","","C-to-assembly","Recurrence|Maze","Complete recipe|Professor interface|Exam API"
"2024-02-28-Q1","2024-02-28","Q1","Compute shortest-path distances from the exit through an encoded maze.","maze shortest path distance propagation breadth fixed-point","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-28-q1/assembly.s","shortestPath","R0 rows, R1 columns, R2 maze address; R0 start distance","assembly maze algorithm","0 wall, 1 start, 2 exit","","","","","Searching|Maze","Complete recipe"
"2024-02-28-Q2","2024-02-28","Q2","Use Timer0 to display each path direction for 0.5 s followed by 0.5 s off.","Timer0 500ms LED route directions state machine","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-02-28-q2/main.c","main; answer_timer0","Timer0 IRQ alternates direction and blank phases","C timer state machine","500 ms phases","LED|Timer0","Timer IRQ|Acknowledgement","Delays","","","Complete recipe|Professor interface|Exam API"
"2024-07-09-Q1","2024-07-09","Q1","Choose a valid neighbor, including a SysTick-based randomized selection helper.","choose neighbor random SysTick modulo DFS","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-07-09-q1/assembly.s","chooseNeighbor; chooseRandomNeighbor","R0-R3 neighbor states; R0 direction 0..4","assembly helper","directions 1..4","SysTick","","","ABI","Sorting|Maze","Complete recipe"
"2024-07-09-Q2","2024-07-09","Q2","Run randomized depth-first maze traversal with stack backtracking and a strong Reset_Handler that starts SysTick.","DFS maze stack backtrack Reset_Handler SysTick LOAD","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-07-09-q2/main.c; 03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-07-09-q2/assembly.s","depthFirstSearch; Reset_Handler","R0 maze, R1 rows, R2 columns, R3 start","assembly traversal + startup","SysTick LOAD 0xFFFFFF","SysTick","","","Reset","Arrays|Searching|Maze","Complete recipe|Direct registers"
"2024-09-16-Q1","2024-09-16","Q1","Apply Kruskal-style wall removal using seven ABI arguments and merge component labels.","Kruskal maze seven arguments stack ABI merge components","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-09-16-q1/assembly.s","kruskal","R0-R3 first four args; remaining three on caller stack","assembly graph algorithm + ABI","horizontal/vertical wall arrays","","","","ABI|Stack arguments","Arrays|Graph|Maze","Complete recipe"
"2024-09-16-Q2","2024-09-16","Q2","Use two debounced button choices to select increment and offset values 2, 3 or 4 before calling Kruskal.","two button sequence debounce parameters LED Kruskal","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2024-09-16-q2/main.c","main; EINT1_IRQHandler; EINT2_IRQHandler","first two events select parameters; later event runs algorithm","C state machine + IRQ","choices 2,3,4","LED|Buttons|Debounce","EINT|Acknowledgement|Event Flags","","C-to-assembly","Recurrence|Graph","Complete recipe|Professor interface|Exam API"
"2025-01-29_ARM1-Q1","2025-01-29","Q1","Apply the specified 8-bit affine transformation using a bit matrix and XOR vector.","affine transformation GF2 bit matrix XOR","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm1-q1/assembly.s","bitwiseAffineTransformation","R0 input byte; R1 matrix; R2 vector; R0 transformed byte","assembly bit algorithm","8x8 GF(2)","","","","","Bits|Matrix","Complete recipe"
"2025-01-29_ARM1-Q2","2025-01-29","Q2","Capture two bytes from Timer1 with INT0, transform their XOR on KEY1, and blink the result with Timer0.","Timer1 INT0 KEY1 XOR affine Timer0 blink LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm1-q2/main.c","main; answer_timer0","debounced events capture and transform; Timer0 toggles display","C peripherals + IRQ","500 ms blink","LED|Buttons|Debounce|Timer0|Timer1","EINT|Timer IRQ|Acknowledgement|Event Flags","Capture|Delays|Multi-timer","","Bits","Complete recipe|Professor interface|Exam API"
"2025-01-29_ARM2-Q1","2025-01-29","Q1","Multiply two 8x8 bit matrices over GF(2).","bit matrix multiplication GF2 parity rows columns","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm2-q1/assembly.s","bitMatrixMultiplication","R0 A, R1 B, R2 C","assembly bit algorithm","8x8 matrices","","","","","Arithmetic|Bits|Matrix","Complete recipe"
"2025-01-29_ARM2-Q2","2025-01-29","Q2","Capture matrix rows with Timer1 and buttons, compute C, and display its rows periodically.","Timer1 buttons matrix rows Timer0 LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm2-q2/main.c","main; answer_timer0","events fill A/B; Timer0 cycles C rows","C peripherals + IRQ","8 rows","LED|Buttons|Timer0|Timer1","Timer IRQ|Acknowledgement|Event Flags","Periodic|Capture|Multi-timer","","Matrix","Complete recipe|Professor interface|Exam API"
"2025-01-29_ARM3-Q1","2025-01-29","Q1","Transpose an 8x8 bit matrix stored as eight bytes.","bit matrix transpose 8x8 masks","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm3-q1/assembly.s","transposition","R0 input address, R1 output address","assembly bit algorithm","8 bytes","","","","","Bits|Matrix","Complete recipe"
"2025-01-29_ARM3-Q2","2025-01-29","Q2","Capture A and B with Timer2 and verify transpose distributes over XOR.","Timer2 buttons transpose XOR identity LED","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-01-29-arm3-q2/main.c","main","events fill matrices then compare both sides of identity","C peripherals + verification","(A xor B)^T","LED|Buttons|Timer2","Event Flags","Capture","","Bits|Matrix","Complete recipe|Professor interface|Exam API"
"2025-02-12_ARM1-Q1","2025-02-12","Q1","Approximate sine with the requested Maclaurin terms and fixed-point scaling.","Maclaurin sine fixed point factorial powers","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm1-q1/assembly.s","Maclaurin","R0 angle/fixed input; R0 approximation","assembly arithmetic","sine series","","","","","Arithmetic","Complete recipe"
"2025-02-12_ARM1-Q2","2025-02-12","Q2","Generate a 45-sample sine waveform through the DAC at the required Timer0 threshold.","DAC speaker sine table Timer0 45 wrap","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm1-q2/main.c","main; answer_timer0","Timer0 IRQ writes one DAC sample and wraps index","C DAC + timer IRQ","45 samples; k=1263","Timer0|DAC|Speaker","Timer IRQ|Acknowledgement","","","","Complete recipe|Professor interface|Exam API"
"2025-02-12_ARM2-Q1","2025-02-12","Q1","Approximate cosine with the requested Maclaurin terms and fixed-point scaling.","Maclaurin cosine fixed point factorial powers","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm2-q1/assembly.s","Maclaurin","R0 angle/fixed input; R0 approximation","assembly arithmetic","cosine series","","","","","Arithmetic","Complete recipe"
"2025-02-12_ARM2-Q2","2025-02-12","Q2","Generate a 45-sample cosine waveform through the DAC at the required Timer1 threshold.","DAC speaker cosine table Timer1 45 wrap","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-02-12-arm2-q2/main.c","main; answer_timer1","Timer1 IRQ writes one DAC sample and wraps index","C DAC + timer IRQ","45 samples; k=1592","Timer1|DAC|Speaker","Timer IRQ|Acknowledgement","","","","Complete recipe|Professor interface|Exam API"
"2025-07-01_ARM1-Q1","2025-07-01","Q1","Compute the next LCG element from five arguments, including the fifth stack argument.","LCG five arguments AAPCS stack modulus","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q1/assembly.s","nextElementLCG","R0-R3 x,a,c,m; fifth argument on stack; R0 next","assembly arithmetic + ABI","five arguments","","","","ABI|Stack arguments","Arithmetic|Recurrence","Complete recipe"
"2025-07-01_ARM1-Q2","2025-07-01","Q2","Strong Reset_Handler generates the requested LCG sequence before entering C.","Reset_Handler LCG sequence startup assembly","03_COPY_PASTE_LIBRARY/CANONICAL_WORKSTATION/exam-solutions/2025-07-01-arm1-q2/assembly.s","Reset_Handler","initializes sequence storage and calls __main","startup assembly","256 elements","","","","Reset|Assembly-to-C","Recurrence","Complete recipe|Direct registers"
