pattern_id,tag,title,canonical_code,alternative_code,adaptation,status
PAT-ALG-SORTING-001,alg:sorting,Signed and unsigned array sorting,02 - Code Recipes/03 - Arrays and Matrices/array_scan_word.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-ALG-RECURRENCE-001,alg:recurrence,Bounded recurrence into an array,02 - Code Recipes/04 - Algorithms/recurrence_into_array.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-ALG-GRAPH-SEARCH-001,alg:graph-search,Matrix and graph traversal,02 - Code Recipes/03 - Arrays and Matrices/matrix_row_major_byte.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-ALG-FREQUENCY-COUNT-001,alg:frequency-count,Frequency-count comparison,03 - Solved Exams/2026-06-25_ARM1_BullsAndCows/Answer Source/assembly.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-ALG-FIXED-POINT-001,alg:fixed-point,Fixed-point multiply and recurrence,02 - Code Recipes/05 - Wide and Fixed Point/fixed_point_recurrence.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-FLOW-NESTED-LOOP-001,flow:nested-loop,Nested loops with preserved outer state,02 - Code Recipes/04 - Algorithms/nested_search_with_break.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-FLOW-EARLY-BREAK-001,flow:early-break,Balanced early exit from inner search,02 - Code Recipes/04 - Algorithms/nested_search_with_break.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-MEM-BYTE-ARRAY-001,mem:byte-array,Signed and unsigned byte arrays,02 - Code Recipes/03 - Arrays and Matrices/matrix_row_major_byte.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-MEM-WORD-ARRAY-001,mem:word-array,Word-array traversal,02 - Code Recipes/03 - Arrays and Matrices/array_scan_word.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-MEM-MATRIX-ROW-MAJOR-001,mem:matrix-row-major,Row-major matrix addressing,02 - Code Recipes/03 - Arrays and Matrices/matrix_row_major_byte.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-AAPCS-FOUR-ARGS-001,abi:four-register-args,Four-register argument contract,03 - Solved Exams/2026-06-25_ARM1_BullsAndCows/Answer Source/assembly.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-AAPCS-STACKED-ARGS-001,abi:stacked-args,Fifth and later arguments,02 - Code Recipes/02 - Assembly Building Blocks/five_to_seven_arguments.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-AAPCS-NONLEAF-001,abi:nonleaf,Non-leaf prologue and epilogue,02 - Code Recipes/02 - Assembly Building Blocks/nonleaf_function.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-CPU-FLAGS-001,cpu:flags,APSR flag contract,02 - Code Recipes/07 - Interrupts and Exceptions/apsr_flags.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-CPU-SVC-001,cpu:svc,SVC immediate decoding,02 - Code Recipes/07 - Interrupts and Exceptions/svc_handler.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-CPU-EXCEPTION-FRAME-001,cpu:exception-frame,MSP/PSP exception-frame selection,02 - Code Recipes/07 - Interrupts and Exceptions/svc_handler.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-TIMER-OWNERSHIP-001,board:timer,Timer setup and ownership,02 - Code Recipes/08 - Board Components/periodic_timer.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-GPIO-EVENT-001,board:gpio,GPIO event capture,02 - Code Recipes/08 - Board Components/button_debounce_event.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-GPIO-JOYSTICK-001,board:joystick,Joystick event state machine,02 - Code Recipes/08 - Board Components/joystick_state_machine.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-ADC-SAMPLE-001,board:adc,ADC sample conversion,02 - Code Recipes/08 - Board Components/adc_to_leds.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-DAC-STREAM-001,board:dac,DAC table streaming,02 - Code Recipes/08 - Board Components/dac_table_stream.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-STATE-EVENT-LOOP-001,state:event-loop,ISR-to-foreground event loop,02 - Code Recipes/08 - Board Components/joystick_state_machine.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-STATE-DEBOUNCE-001,state:debounce,Deterministic debounce,02 - Code Recipes/08 - Board Components/button_debounce_event.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-TIMER-PERIODIC-001,timing:periodic,Periodic match scheduling,02 - Code Recipes/08 - Board Components/periodic_timer.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-TIMER-FREE-RUNNING-001,timing:free-running,Free-running timer seed,02 - Code Recipes/08 - Board Components/free_running_timer.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-AAPCS-STACK-SAFETY-001,risk:stack-alignment,Register preservation and stack safety,02 - Code Recipes/02 - Assembly Building Blocks/nonleaf_function.s,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-STATE-IRQ-HANDOFF-001,risk:irq-shared-state,Atomic ISR event handoff,02 - Code Recipes/08 - Board Components/periodic_timer.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-TIMER-VECTOR-OWNERSHIP-001,risk:vector-ownership,Exclusive interrupt-vector ownership,02 - Code Recipes/08 - Board Components/multi_timer_state.c,,Use the pattern page's contract and change-first guidance.,COMPILED_CODE
PAT-DATA-ASM-OBJECTS-001,exam-derived:data-sum,Assembly objects and exported symbols,02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DATA-ASM-OBJECTS-001/c/reference.c,02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-DATA-ASM-OBJECTS-001/arm/implementation.s,"Match the documented ABI, width, signedness, capacity and boundary policy.",HOST_EDGE_TESTED_C;SIMULATOR_EXECUTED_PASS_ARM
PAT-ALG-WIDE-DIVISION-001,exam-derived:signed-div,Signed 64-by-32 restoring division,02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-WIDE-DIVISION-001/c/reference.c,02 - Code Recipes/11 - Maximum Algorithm Reference/PAT-ALG-WIDE-DIVISION-001/arm/implementation.s,"Match the documented ABI, width, signedness, capacity and boundary policy.",HOST_EDGE_TESTED_C;SIMULATOR_EXECUTED_PASS_ARM
