lesson,title,summary,path,peripheral_tags,interrupt_tags,timing_tags,architecture_tags,algorithm_tags,usage_tags
1,"1. Project, main(), and waiting",Start from zero with the sole Official Combined project.,01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-1-project-main-and-waiting,,,,,,Beginner lesson|Official Combined API
2,2. LEDs,"Logical indexes, byte patterns, atomic writes, and physical labels.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-2-leds,LED,,,,,Beginner lesson|Official Combined API
3,3. Raw buttons,"EINT0-EINT2, active-low inputs, acknowledgement, and handler ownership.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-3-raw-buttons,Buttons,EINT|Acknowledgement,,,,Beginner lesson|Official Combined API
4,4. Interrupt ownership,"Exactly one handler, acknowledgement, and bounded interrupt work.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-4-interrupt-ownership,,Acknowledgement|NVIC Priority,,,,Beginner lesson|Direct registers|Official Combined API
5,5. Timer0-Timer3,"MR0 ticks, milliseconds, hertz, periodic and one-shot modes.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-5-timer0-timer3,Timer0|Timer1|Timer2|Timer3,Timer IRQ|Acknowledgement,Periodic|One-shot,,,Beginner lesson|Official Combined API
6,6. Button debouncing,"One confirmed press driven by an explicitly selected time source.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-6-button-debouncing,Buttons|Debounce|Timer0|SysTick|RIT,EINT|Acknowledgement|Event Flags,Periodic,,,Beginner lesson|Official Combined API
7,7. SysTick,"The 24-bit CPU timer and safe millisecond/tick configuration.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-7-systick,SysTick,SysTick IRQ,Periodic,,,Beginner lesson|Official Combined API
8,8. RIT,"Repetitive timing with explicit start and acknowledgement.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-8-rit,RIT,RIT IRQ|Acknowledgement,Periodic|Polling,,,Beginner lesson|Official Combined API
9,9. Joystick,"Active-low normalization and pressed-edge detection.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-9-joystick,Joystick,,Polling,,,Beginner lesson|Official Combined API
10,10. ADC / potentiometer,"One conversion at a time with a fresh 12-bit result.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-10-adc-potentiometer,ADC,ADC IRQ|Event Flags,Conversion,,,Beginner lesson|Official Combined API
11,11. DAC / speaker,"Validated 10-bit samples and timer-driven table playback.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-11-dac-speaker,DAC|Speaker,Timer IRQ,Periodic,,,Beginner lesson|Official Combined API
12,12. IRQ-to-main events,"Short handlers, event flags, volatile data, and critical sections.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-12-irq-to-main-events,Buttons,EINT|Acknowledgement|Event Flags|Critical Sections,,,,Beginner lesson|Official Combined API
13,13. Combining peripherals,"A single-owner plan for buttons, timers, ADC, DAC, and assembly.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-13-combining-peripherals,Buttons|Timer0|Timer1|ADC|DAC,EINT|Timer IRQ|ADC IRQ|Event Flags,Periodic|Multi-timer,C-to-assembly,,Beginner lesson|Official Combined API
14,14. Choose the correct level,"A decision table for the API, professor functions, and direct registers.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-14-choose-the-correct-level,,,,ABI|Reset|SVC|Exceptions|C-to-assembly,,Beginner lesson|Direct registers|Professor interface|Official Combined API
