lesson,title,summary,path,peripheral_tags,interrupt_tags,timing_tags,architecture_tags,algorithm_tags,usage_tags
1,"1. Project, main(), and waiting",Start from zero: where initialization and foreground code belong.,01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-1-project-structure-main-and-waiting,,,,,,Beginner lesson|Complete recipe|Professor interface|Exam API
2,2. LEDs,"Professor indexes, byte patterns, atomic writes, and physical labels.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-2-leds,LED,,,,,Beginner lesson|Complete recipe|Professor interface|Exam API
3,3. Raw buttons,"EINT0–EINT2, active-low edges, acknowledgement, and handler ownership.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-3-raw-buttons-and-eint0eint2,Buttons,EINT|Acknowledgement,,,,Beginner lesson|Complete recipe|Direct registers|Professor interface|Exam API
4,4. Interrupt ownership,"Exactly one handler, acknowledgement, and NVIC priority.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-4-interrupt-ownership-and-priorities,,Acknowledgement|NVIC Priority,,,,Beginner lesson|Direct registers
5,5. Timer0–Timer3,"Ticks, MR0, periodic, one-shot, free-running, and safe start/stop.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-5-timer0timer3,LED|Timer0|Timer1|Timer2|Timer3,Timer IRQ|Acknowledgement|NVIC Priority,Periodic|One-shot|Free-running|Delays,,,Beginner lesson|Complete recipe|Direct registers|Professor interface|Exam API
6,6. Button debouncing,"One press event per physical press, driven by one explicit time source.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-6-debouncing-all-three-buttons,Buttons|Debounce|Timer0|Timer1|Timer2|Timer3|SysTick|RIT,EINT|Acknowledgement|Event Flags,Periodic,,,Beginner lesson|Complete recipe|Exam API
7,7. SysTick,The 24-bit CPU timer and LOAD = cycles - 1.,01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-7-systick,LED|SysTick,,Periodic|Delays,,,Beginner lesson|Complete recipe|Direct registers|Professor interface|Exam API
8,8. RIT,Repetitive polling/timing with explicit acknowledgement.,01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-8-rit,LED|RIT,Acknowledgement,Periodic|Polling,,,Beginner lesson|Complete recipe|Professor interface|Exam API
9,9. Joystick,"Active-low normalization, simultaneous directions, pressed edges, and first movement.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-9-joystick,LED|Joystick,,Polling,,,Beginner lesson|Complete recipe|Professor interface|Exam API
10,10. ADC / potentiometer,"Start conversion, capture ADGDR once, publish a fresh 12-bit result.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-10-adc-and-the-potentiometer,LED|ADC,ADC IRQ|Acknowledgement|Event Flags,Polling,,,Beginner lesson|Complete recipe|Direct registers|Professor interface|Exam API
11,11. DAC / speaker,"Validated 10-bit samples, timer-driven table playback, and visible wraparound.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-11-dac-and-speaker-output,Timer0|DAC|Speaker,Timer IRQ|Acknowledgement,Periodic,,,Beginner lesson|Complete recipe|Direct registers|Exam API
12,12. IRQ-to-main events,"Short handlers, event flags, volatile data, and critical sections.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-12-safely-moving-work-from-irq-to-main,Buttons,EINT|Acknowledgement|Event Flags|Critical Sections,,,,Beginner lesson|Complete recipe|Exam API
13,13. Combining peripherals,"Buttons, timers, ADC, assembly, joystick, DAC, and multi-timer ownership.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-13-combining-peripherals-without-creating-a-mess,LED|Buttons|Timer0|Timer1|Timer2|Joystick|ADC|DAC|Speaker,EINT|Timer IRQ|ADC IRQ|Acknowledgement|Event Flags|Critical Sections,Periodic|Capture|Multi-timer,C-to-assembly,,Beginner lesson|Complete recipe|Direct registers|Professor interface|Exam API
14,14. Choose the correct level,"A decision table for API, professor functions, and direct registers.",01_GUIDES_AND_INDEXES/PERIPHERALS_CANONICAL.md#lesson-14-api-professor-functions-or-direct-registers,,,,ABI|Stack arguments|Reset|SVC|Exceptions|C-to-assembly|Assembly-to-C,,Beginner lesson|Direct registers|Professor interface|Exam API
