"title","family","tag","exam_ids","c_source","arm_source","question_count"
"Signed and unsigned array sorting","alg","alg:sorting","E2023-02-07;E2023-02-24","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/03%20-%20Arrays%20and%20Matrices/array_scan_word.s","2"
"Bounded recurrence into an array","alg","alg:recurrence","E2023-02-24;E2023-07-04;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/04%20-%20Algorithms/recurrence_into_array.s","10"
"Matrix and graph traversal","alg","alg:graph-search","E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/03%20-%20Arrays%20and%20Matrices/matrix_row_major_byte.s","4"
"Frequency-count comparison","alg","alg:frequency-count","E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/03%20-%20Solved%20Exams/2026-06-25_ARM1_BullsAndCows/Answer%20Source/assembly.s","2"
"Fixed-point multiply and recurrence","alg","alg:fixed-point","E2025-02-12-A1;E2025-02-12-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/05%20-%20Wide%20and%20Fixed%20Point/fixed_point_recurrence.s","2"
"Nested loops with preserved outer state","flow","flow:nested-loop","E2023-02-07;E2023-02-24;E2023-07-04;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-02-03-A1;E2026-02-03-A3;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/04%20-%20Algorithms/nested_search_with_break.s","12"
"Balanced early exit from inner search","flow","flow:early-break","E2023-02-07;E2024-02-12;E2025-01-29-A2;E2026-02-03-A2;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/04%20-%20Algorithms/nested_search_with_break.s","5"
"Signed and unsigned byte arrays","mem","mem:byte-array","E2023-02-07;E2024-02-12;E2024-02-28;E2024-07-09;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-02-03-A1;E2026-02-03-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/03%20-%20Arrays%20and%20Matrices/matrix_row_major_byte.s","16"
"Word-array traversal","mem","mem:word-array","E2023-07-04;E2023-09-18;E2024-09-16;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/03%20-%20Arrays%20and%20Matrices/array_scan_word.s","17"
"Row-major matrix addressing","mem","mem:matrix-row-major","E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/03%20-%20Arrays%20and%20Matrices/matrix_row_major_byte.s","9"
"Four-register argument contract","abi","abi:four-register-args","E2024-07-09;E2024-09-16;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/03%20-%20Solved%20Exams/2026-06-25_ARM1_BullsAndCows/Answer%20Source/assembly.s","4"
"Fifth and later arguments","abi","abi:stacked-args","E2024-09-16;E2025-07-01-A1;E2025-07-01-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/02%20-%20Assembly%20Building%20Blocks/five_to_seven_arguments.s","5"
"Non-leaf prologue and epilogue","abi","abi:nonleaf","E2023-02-07;E2023-02-24;E2023-07-04;E2023-09-18;E2024-07-09;E2024-09-16;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A3","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/02%20-%20Assembly%20Building%20Blocks/nonleaf_function.s","14"
"APSR flag contract","cpu","cpu:flags","E2023-05-17;E2023-09-18","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/07%20-%20Interrupts%20and%20Exceptions/apsr_flags.s","3"
"SVC immediate decoding","cpu","cpu:svc","E2023-02-24","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/07%20-%20Interrupts%20and%20Exceptions/svc_handler.s","1"
"MSP/PSP exception-frame selection","cpu","cpu:exception-frame","E2023-02-24","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/01%20-%20C%20Foundations/C_EXAM_COURSE.md","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/07%20-%20Interrupts%20and%20Exceptions/svc_handler.s","1"
"Timer setup and ownership","board","board:timer","E2023-02-07;E2023-07-04;E2024-02-12;E2024-02-28;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/periodic_timer.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","16"
"GPIO event capture","board","board:gpio","E2023-02-07;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/button_debounce_event.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","18"
"Joystick event state machine","board","board:joystick","E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/joystick_state_machine.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","4"
"ADC sample conversion","board","board:adc","E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/adc_to_leds.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","3"
"DAC table streaming","board","board:dac","E2025-02-12-A1;E2025-02-12-A2;E2026-02-18-A1;E2026-02-18-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/dac_table_stream.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","4"
"ISR-to-foreground event loop","state","state:event-loop","E2023-07-04;E2023-09-18;E2024-02-28;E2024-09-16;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/joystick_state_machine.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","12"
"Deterministic debounce","state","state:debounce","E2023-02-07;E2023-09-18;E2024-02-12;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/button_debounce_event.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","15"
"Periodic match scheduling","timing","timing:periodic","E2023-07-04;E2024-02-28;E2024-07-09;E2025-01-29-A1;E2025-01-29-A2;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1-Q3;E2025-07-01-A2-Q3;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/periodic_timer.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","12"
"Free-running timer seed","timing","timing:free-running","E2023-02-07;E2024-02-12;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-06-25-B1;E2026-06-25-B2","../../../../03_ADDITIONAL_STUDY_MATERIAL/02%20-%20Code%20Recipes/08%20-%20Board%20Components/free_running_timer.c","../../../../03_ADDITIONAL_STUDY_MATERIAL/01%20-%20Learn/02%20-%20ARM%20Foundations/ASSEMBLY_EXAM_COURSE.md","7"
