pattern_id,category,title,primary_tag,exam_ids
PAT-ALG-SORTING-001,algorithms,Signed and unsigned array sorting,alg:sorting,E2023-02-07;E2023-02-24
PAT-ALG-RECURRENCE-001,algorithms,Bounded recurrence into an array,alg:recurrence,E2023-02-24;E2023-07-04;E2023-09-18;E2024-02-28;E2024-07-09;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2
PAT-ALG-GRAPH-SEARCH-001,algorithms,Matrix and graph traversal,alg:graph-search,E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16
PAT-ALG-FREQUENCY-COUNT-001,algorithms,Frequency-count comparison,alg:frequency-count,E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-ALG-FIXED-POINT-001,algorithms,Fixed-point multiply and recurrence,alg:fixed-point,E2025-01-29-A1;E2025-02-12-A1;E2025-02-12-A2
PAT-FLOW-NESTED-LOOP-001,control-flow,Nested loops with preserved outer state,flow:nested-loop,E2023-02-07;E2023-02-24;E2023-05-17;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-07-01-A2;E2026-02-03-A3;E2026-06-25-B2
PAT-FLOW-EARLY-BREAK-001,control-flow,Balanced early exit from inner search,flow:early-break,E2023-02-07;E2024-02-12;E2025-01-29-A2;E2026-02-03-A2;E2026-06-25-B2
PAT-MEM-BYTE-ARRAY-001,memory,Signed and unsigned byte arrays,mem:byte-array,E2023-02-07;E2023-02-24;E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-02-03-A1;E2026-02-03-A2
PAT-MEM-WORD-ARRAY-001,memory,Word-array traversal,mem:word-array,E2023-07-04;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-MEM-MATRIX-ROW-MAJOR-001,memory,Row-major matrix addressing,mem:matrix-row-major,E2023-02-24;E2023-05-17;E2023-09-18;E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2026-02-18-A2;E2026-06-25-B1
PAT-AAPCS-FOUR-ARGS-001,aapcs,Four-register argument contract,abi:four-register-args,E2024-07-09;E2024-09-16;E2026-06-25-B1;E2026-06-25-B2
PAT-AAPCS-STACKED-ARGS-001,aapcs,Fifth and later arguments,abi:stacked-args,E2024-09-16;E2025-07-01-A1;E2025-07-01-A2
PAT-AAPCS-NONLEAF-001,aapcs,Non-leaf prologue and epilogue,abi:nonleaf,E2023-02-07;E2023-02-24;E2023-05-17;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-CPU-FLAGS-001,exceptions,APSR flag contract,cpu:flags,E2023-05-17;E2023-09-18;E2024-02-12;E2024-09-16;E2025-01-29-A2;E2025-02-12-A1;E2025-07-01-A1;E2026-02-03-A1;E2026-02-03-A3;E2026-02-18-A2
PAT-CPU-SVC-001,exceptions,SVC immediate decoding,cpu:svc,E2023-02-07;E2023-02-24
PAT-CPU-EXCEPTION-FRAME-001,exceptions,MSP/PSP exception-frame selection,cpu:exception-frame,E2023-02-24
PAT-TIMER-OWNERSHIP-001,timers,Timer setup and ownership,board:timer,E2023-02-07;E2023-07-04;E2024-02-12;E2024-02-28;E2024-07-09;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-GPIO-EVENT-001,gpio-input,GPIO event capture,board:gpio,E2023-02-07;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-06-25-B1;E2026-06-25-B2
PAT-GPIO-JOYSTICK-001,gpio-input,Joystick event state machine,board:joystick,E2025-07-01-A1;E2025-07-01-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-ADC-SAMPLE-001,adc-dac,ADC sample conversion,board:adc,E2023-05-17;E2025-02-12-A1;E2025-02-12-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1
PAT-DAC-STREAM-001,adc-dac,DAC table streaming,board:dac,E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2
PAT-STATE-EVENT-LOOP-001,state-machines,ISR-to-foreground event loop,state:event-loop,E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A3;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-STATE-DEBOUNCE-001,state-machines,Deterministic debounce,state:debounce,E2023-02-07;E2023-09-18;E2024-02-12;E2024-09-16;E2025-01-29-A3;E2025-02-12-A1;E2026-02-03-A1;E2026-02-03-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-TIMER-PERIODIC-001,timers,Periodic match scheduling,timing:periodic,E2023-07-04;E2024-02-28;E2024-07-09;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-TIMER-FREE-RUNNING-001,timers,Free-running timer seed,timing:free-running,E2023-02-07;E2024-02-12;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-AAPCS-STACK-SAFETY-001,aapcs,Register preservation and stack safety,risk:stack-alignment,E2023-02-07;E2023-02-24;E2023-05-17;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-07-09;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-STATE-IRQ-HANDOFF-001,state-machines,Atomic ISR event handoff,risk:irq-shared-state,E2023-02-07;E2023-07-04;E2023-09-18;E2024-02-12;E2024-02-28;E2024-09-16;E2025-01-29-A1;E2025-01-29-A2;E2025-01-29-A3;E2025-02-12-A1;E2025-02-12-A2;E2025-07-01-A1;E2025-07-01-A2;E2026-02-03-A1;E2026-02-03-A2;E2026-02-03-A3;E2026-02-18-A1;E2026-02-18-A2;E2026-06-25-B1;E2026-06-25-B2
PAT-TIMER-VECTOR-OWNERSHIP-001,timers,Exclusive interrupt-vector ownership,risk:vector-ownership,E2023-02-07;E2026-02-18-A1
