question_id,exam_id,question,delivery_mode,question_type,requirement,source_pdf,source_sha256,tags,algorithms,peripherals,events,timing,data_shapes,abi,risks,keywords,pattern_ids,simulator_status,hardware_status,physical_status
E2023-02-07-Q1,E2023-02-07,Q1,ASM,assembly-algorithm,"Copy signed byte values into a working array, then perform insertion sort while preserving signed ordering and array bounds.",Exams/22-23/20230207 arm.pdf,77929b413afda671274838630078b32bbebe1e643e1102a00412a7209879ce26,abi:callee-saved-registers;abi:non-leaf;algorithm:array-copy;algorithm:insertion-sort;data:read-only-input;data:signed-byte-array;data:writable-output;lang:assembly;risk:bounds;risk:signedness;risk:stack-balance;type:assembly-algorithm,array-copy;insertion-sort,,,,signed-byte-array;read-only-input;writable-output,non-leaf;callee-saved-registers,signedness;bounds;stack-balance,sort signed bytes copy array insertion stable,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-SORTING-001;PAT-DATA-ASM-OBJECTS-001;PAT-FLOW-EARLY-BREAK-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-02-07-Q2,E2023-02-07,Q2,C + ASM call,c-board-integration,Use Timer1 as a free-running counter reset at 0xFF without an IRQ; INT0 captures array data and alternates LEDs 6/7; KEY1 invokes the assembly sort.,Exams/22-23/20230207 arm.pdf,77929b413afda671274838630078b32bbebe1e643e1102a00412a7209879ce26,abi:c-calls-assembly;algorithm:capture-and-sort;data:signed-byte-array;event:int0;event:key1;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:led;peripheral:timer1;risk:debounce;risk:irq-shared-state;risk:timer-ownership;risk:vector-ownership;timing:free-running;timing:reset-at-match-no-irq;type:c-board-integration,capture-and-sort,led;timer1;buttons,int0;key1,free-running;reset-at-match-no-irq,signed-byte-array,c-calls-assembly,debounce;irq-shared-state;timer-ownership;vector-ownership,timer seed counter 0xff LED6 LED7 external interrupt sort,PAT-GPIO-EVENT-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-VECTOR-OWNERSHIP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-02-24-Q1,E2023-02-24,Q1,ASM,assembly-algorithm,"Implement the Kaprekar digit transformation, including digit extraction, reordering, subtraction and repeated convergence logic.",Exams/22-23/20230224 arm.pdf,ebd2df9c75ec7e24bd6f76515a3b06cdfcec78b7e5aea7d33d977761fa0dc0a4,abi:callee-saved-registers;abi:non-leaf;algorithm:decimal-digits;algorithm:kaprekar;algorithm:recurrence;algorithm:sorting;data:digit-array;data:scalar;lang:assembly;risk:signedness;risk:stack-balance;risk:termination;type:assembly-algorithm,kaprekar;decimal-digits;sorting;recurrence,,,,scalar;digit-array,non-leaf;callee-saved-registers,signedness;termination;stack-balance,Kaprekar digits ascending descending subtraction convergence,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-DECIMAL-DIGITS-001;PAT-ALG-RECURRENCE-001;PAT-ALG-SORTING-001;PAT-FLOW-NESTED-LOOP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-02-24-Q2,E2023-02-24,Q2,ASM exception,assembly-exception,"Handle SVC #50, locate the correct exception stack frame, decode the SVC immediate from the instruction before stacked PC, repeatedly call the Kaprekar routine, and return the iteration count in R6.",Exams/22-23/20230224 arm.pdf,ebd2df9c75ec7e24bd6f76515a3b06cdfcec78b7e5aea7d33d977761fa0dc0a4,abi:callee-saved-registers;abi:exception-return;abi:non-leaf;algorithm:kaprekar-iteration;data:exception-frame;event:svc-50;integration:c-calls-assembly;lang:assembly;lang:c;risk:msp-vs-psp;risk:stack-balance;risk:svc-decode;type:assembly-exception,kaprekar-iteration,,svc-50,,exception-frame,non-leaf;exception-return;callee-saved-registers,msp-vs-psp;svc-decode;stack-balance,SVC 50 supervisor immediate stacked PC MSP PSP R6,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-RECURRENCE-001;PAT-CPU-EXCEPTION-FRAME-001;PAT-CPU-SVC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-05-17-Q1,E2023-05-17,Q1,ASM,assembly-algorithm,"Divide a signed 64-bit dividend by a signed 32-bit divisor without MUL, using sign normalization, a 64-bit shift/subtract loop, and quotient-bit construction.",Exams/22-23/20230517 arm.pdf,94a30856a4f9a56bb908dbab2def2de9fee9973a4471ac5111399a992509bbab,abi:callee-saved-registers;abi:two-register-wide-input;algorithm:signed-restoring-division;data:signed-32-bit;data:signed-64-bit;data:two-word-value;lang:assembly;risk:divide-by-zero;risk:overflow;risk:sign-normalization;risk:stack-balance;type:assembly-algorithm,signed-restoring-division,,,,signed-64-bit;two-word-value;signed-32-bit,two-register-wide-input;callee-saved-registers,divide-by-zero;sign-normalization;overflow;stack-balance,64 by 32 signed division restoring shift subtract no MUL quotient remainder,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-WIDE-DIVISION-001;PAT-CPU-FLAGS-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-05-17-Q2,E2023-05-17,Q2,ASM flags,assembly-flags,"Set or report the required N, Z, C and V status according to the division outcome using program-status-register operations.",Exams/22-23/20230517 arm.pdf,94a30856a4f9a56bb908dbab2def2de9fee9973a4471ac5111399a992509bbab,abi:flags-return-contract;algorithm:condition-flag-result;data:apsr-flags;lang:assembly;risk:nzcv-semantics;type:assembly-flags,condition-flag-result,,,,apsr-flags,flags-return-contract,nzcv-semantics,APSR CPSR N Z C V flags overflow carry,PAT-AAPCS-STACK-SAFETY-001;PAT-CPU-FLAGS-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-07-04-Q1,E2023-07-04,Q1,ASM,assembly-algorithm,"Compute aliquot sums and detect a sociable-number sequence using divisor tests, nested loops and subroutine calls.",Exams/22-23/20230704 arm.pdf,00b04fb9ee48348d35f760dc4be463f251c7e107e6fece712f732e2ce8e0a82c,abi:callee-saved-registers;abi:non-leaf;algorithm:aliquot-sum;algorithm:divisor-search;algorithm:recurrence;algorithm:sociable-sequence;data:word-array;lang:assembly;risk:division;risk:stack-balance;risk:termination;type:assembly-algorithm,aliquot-sum;sociable-sequence;divisor-search;recurrence,,,,word-array,non-leaf;callee-saved-registers,termination;division;stack-balance,sociable numbers aliquot proper divisors cycle,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-PRIME-FACTORIZATION-001;PAT-ALG-RECURRENCE-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-07-04-Q2,E2023-07-04,Q2,C + ASM call,c-board-integration,"Configure Timer1 for a two-second periodic event, advance a circular sequence array, call the assembly routine, and display the result on LEDs.",Exams/22-23/20230704 arm.pdf,00b04fb9ee48348d35f760dc4be463f251c7e107e6fece712f732e2ce8e0a82c,abi:c-calls-assembly;algorithm:circular-sequence;data:word-array;event:timer-interrupt;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:led;peripheral:timer1;risk:irq-shared-state;risk:timer-ownership;timing:periodic-2-seconds;type:c-board-integration,circular-sequence,led;timer1,timer-interrupt,periodic-2-seconds,word-array,c-calls-assembly,irq-shared-state;timer-ownership,periodic timer circular array display assembly call,PAT-GPIO-EVENT-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-09-18-Q1,E2023-09-18,Q1,ASM,assembly-algorithm,Implement digitSum and digitaddition so one assembly subroutine calls another and reports arithmetic overflow correctly.,Exams/22-23/20230918 arm.pdf,2e6568d814b67ff734004e311accb982e610ba7544cdb5f1f91b324981b7846b,abi:callee-saved-registers;abi:non-leaf;algorithm:decimal-digits;algorithm:digit-addition;algorithm:digit-sum;data:digit-array;data:scalar;lang:assembly;risk:arithmetic-overflow;risk:stack-balance;type:assembly-algorithm,digit-sum;digit-addition;decimal-digits,,,,scalar;digit-array,non-leaf;callee-saved-registers,arithmetic-overflow;stack-balance,digitSum digitaddition decimal carry overflow nested BL,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-DECIMAL-DIGITS-001;PAT-CPU-FLAGS-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2023-09-18-Q2,E2023-09-18,Q2,C + ASM call,c-board-integration,"Use KEY1 and KEY2 to build a binary value K, trigger processing from INT0, manage arrays, call assembly and show the comparison result on LEDs.",Exams/22-23/20230918 arm.pdf,2e6568d814b67ff734004e311accb982e610ba7544cdb5f1f91b324981b7846b,abi:c-calls-assembly;algorithm:array-comparison;algorithm:binary-value-construction;data:word-array;event:int0;event:key1;event:key2;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:led;risk:debounce;risk:irq-shared-state;type:c-board-integration,binary-value-construction;array-comparison,led;buttons,int0;key1;key2,,word-array,c-calls-assembly,debounce;irq-shared-state,KEY1 KEY2 INT0 binary K arrays compare LEDs,PAT-GPIO-EVENT-001;PAT-MEM-WORD-ARRAY-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-02-12-Q1,E2024-02-12,Q1,ASM,assembly-algorithm,Solve a two-dimensional byte maze by repeatedly propagating reachable distances until the destination is reached or no progress remains.,Exams/23-24/20240212 arm.pdf,857211aa08989b7cd8e4630443c80fe33a4ad8e94d34a17636626deac8230ede,abi:callee-saved-registers;algorithm:flood-fill;algorithm:graph-search;algorithm:maze-propagation;data:byte-matrix;data:row-major;lang:assembly;risk:bounds;risk:no-progress-termination;risk:stack-balance;type:assembly-algorithm,maze-propagation;flood-fill;graph-search,,,,byte-matrix;row-major,callee-saved-registers,bounds;no-progress-termination;stack-balance,maze wavefront propagation reachable distance walls destination,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-FLOOD-FILL-001;PAT-ALG-GRAPH-SEARCH-001;PAT-FLOW-EARLY-BREAK-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-02-12-Q2,E2024-02-12,Q2,C + ASM call,c-board-integration,"Generate a random maze with an LCG seeded from a free-running Timer0, start from KEY2, fill the byte matrix safely, and call the assembly solver.",Exams/23-24/20240212 arm.pdf,857211aa08989b7cd8e4630443c80fe33a4ad8e94d34a17636626deac8230ede,abi:c-calls-assembly;algorithm:lcg;algorithm:maze-generation;data:byte-matrix;data:row-major;event:key2;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:buttons;peripheral:led;peripheral:timer0;risk:bounds;risk:debounce;risk:irq-shared-state;risk:timer-ownership;timing:free-running-seed;type:c-board-integration,lcg;maze-generation,led;timer0;buttons,key2,free-running-seed,byte-matrix;row-major,c-calls-assembly,debounce;bounds;irq-shared-state;timer-ownership,random maze LCG Timer0 seed KEY2 matrix solver,PAT-ALG-LCG-001;PAT-GPIO-EVENT-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-FREE-RUNNING-001;PAT-TIMER-OWNERSHIP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-02-28-Q1,E2024-02-28,Q1,ASM,assembly-algorithm,"Compute a shortest path through a two-dimensional byte maze while respecting walls, bounds and distance updates.",Exams/23-24/20240228 arm.pdf,772f6c10718ce63a360fd71027fbfce97bacac7b86829e48cf4bd3763d966783,abi:callee-saved-registers;algorithm:maze-propagation;algorithm:unweighted-shortest-path;data:byte-matrix;data:row-major;lang:assembly;risk:bounds;risk:stack-balance;risk:unreachable-destination;type:assembly-algorithm,unweighted-shortest-path;maze-propagation,,,,byte-matrix;row-major,callee-saved-registers,bounds;unreachable-destination;stack-balance,shortest path maze distance walls wavefront,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-FLOOD-FILL-001;PAT-ALG-GRAPH-SEARCH-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-02-28-Q2,E2024-02-28,Q2,C,c-board-state-machine,Configure a timer for a 0.5-second sequence and move an LED indication through the required states without losing events.,Exams/23-24/20240228 arm.pdf,772f6c10718ce63a360fd71027fbfce97bacac7b86829e48cf4bd3763d966783,abi:callback;algorithm:led-sequence;event:timer-interrupt;lang:c;peripheral:led;peripheral:timer;risk:irq-shared-state;risk:lost-events;risk:timer-ownership;timing:periodic-500-ms;type:c-board-state-machine,led-sequence,led;timer,timer-interrupt,periodic-500-ms,,callback,irq-shared-state;timer-ownership;lost-events,0.5 second periodic LED sequence states,PAT-GPIO-EVENT-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001;PAT-TIMER-OWNERSHIP-001;PAT-TIMER-PERIODIC-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-07-09-Q1,E2024-07-09,Q1,ASM,assembly-algorithm,"Solve a maze with depth-first search using an explicit stack, four parameters and a nested call to chooseNeighbor.",Exams/23-24/20240709 arm.pdf,072489aedf62543620d5bb60295fb085204bae358d5316fb342c1150475a9a98,abi:callee-saved-registers;abi:four-register-arguments;abi:non-leaf;algorithm:depth-first-search;algorithm:explicit-stack;algorithm:maze;data:byte-matrix;data:explicit-stack;data:row-major;lang:assembly;risk:bounds;risk:stack-balance;risk:stack-capacity;type:assembly-algorithm,depth-first-search;explicit-stack;maze,,,,byte-matrix;row-major;explicit-stack,four-register-arguments;non-leaf;callee-saved-registers,stack-capacity;bounds;stack-balance,DFS chooseNeighbor explicit stack maze four parameters,PAT-AAPCS-FOUR-ARGS-001;PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-DFS-STACK-001;PAT-ALG-GRAPH-SEARCH-001;PAT-DS-STACK-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-07-09-Q2,E2024-07-09,Q2,ASM startup/exception,assembly-startup-exception,"Configure SysTick directly in Reset_Handler, collect available moves, choose one using modulo arithmetic, and keep the stack balanced across all branches.",Exams/23-24/20240709 arm.pdf,072489aedf62543620d5bb60295fb085204bae358d5316fb342c1150475a9a98,abi:non-leaf;abi:reset-handler;algorithm:available-moves;algorithm:modulo-selection;data:byte-matrix;data:candidate-array;event:systick-interrupt;integration:c-calls-assembly;lang:assembly;lang:c;peripheral:systick;risk:direct-register-setup;risk:stack-balance;risk:vector-ownership;timing:periodic;type:assembly-startup-exception,available-moves;modulo-selection,systick,systick-interrupt,periodic,byte-matrix;candidate-array,reset-handler;non-leaf,direct-register-setup;stack-balance;vector-ownership,Reset_Handler SysTick available moves modulo choose neighbor,PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-MEM-BYTE-ARRAY-001;PAT-TIMER-PERIODIC-001;PAT-TIMER-VECTOR-OWNERSHIP-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-09-16-Q1,E2024-09-16,Q1,ASM,assembly-algorithm,"Implement the Kruskal-style maze operation across three arrays with seven parameters, including min/max selection, component replacement and row-major access.",Exams/23-24/20240916 arm.pdf,bbadd5254928052d8fdf6f824af902ed80a57c58adbb8028e7ec666d2935e3c1,abi:callee-saved-registers;abi:non-leaf;abi:seven-arguments;abi:stacked-arguments;algorithm:component-label-merge;algorithm:kruskal;algorithm:min-max-reduction;data:row-major;data:three-word-arrays;lang:assembly;risk:bounds;risk:stack-balance;risk:stacked-offsets;type:assembly-algorithm,kruskal;component-label-merge;min-max-reduction,,,,three-word-arrays;row-major,seven-arguments;stacked-arguments;non-leaf;callee-saved-registers,stacked-offsets;bounds;stack-balance,Kruskal MST component replacement seven parameters min max,PAT-AAPCS-FOUR-ARGS-001;PAT-AAPCS-NONLEAF-001;PAT-AAPCS-STACK-SAFETY-001;PAT-AAPCS-STACKED-ARGS-001;PAT-ALG-COMPONENT-MERGE-001;PAT-ALG-GRAPH-SEARCH-001;PAT-ALG-REDUCTION-001;PAT-DS-UNION-FIND-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-MATRIX-ROW-MAJOR-001;PAT-MEM-WORD-ARRAY-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2024-09-16-Q2,E2024-09-16,Q2,C,c-board-state-machine,Implement a two-button state machine that increments a value and applies the required offset while handling event order and button behavior.,Exams/23-24/20240916 arm.pdf,bbadd5254928052d8fdf6f824af902ed80a57c58adbb8028e7ec666d2935e3c1,abi:callback;algorithm:button-ordered-offset;event:int0;event:key1;event:key2;lang:c;peripheral:buttons;peripheral:led;risk:debounce;risk:event-order;risk:irq-shared-state;type:c-board-state-machine,button-ordered-offset,led;buttons,int0;key1;key2,,,callback,debounce;event-order;irq-shared-state,two button state machine increment offset event order,PAT-GPIO-EVENT-001;PAT-STATE-DEBOUNCE-001;PAT-STATE-EVENT-LOOP-001;PAT-STATE-IRQ-HANDOFF-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
E2025-01-29-A1-Q1,E2025-01-29-A1,Q1,ASM,assembly-algorithm,Apply the requested bitwise affine transformation to a packed 8x8 binary matrix while preserving the specified bit and row order.,Exams/24-25/2025_01_29/20250129_ARM1.pdf,81b1160be1d5b7aa4520486427166188d838607a3f22089c7b04734b3dad4575,abi:callee-saved-registers;algorithm:bitwise-affine-transform;algorithm:packed-matrix;data:byte-array;data:packed-8x8-bit-matrix;lang:assembly;risk:bit-order;risk:bounds;risk:row-order;risk:stack-balance;type:assembly-algorithm,bitwise-affine-transform;packed-matrix,,,,packed-8x8-bit-matrix;byte-array,callee-saved-registers,bit-order;row-order;bounds;stack-balance,affine bit matrix packed 8x8 masks shifts,PAT-AAPCS-STACK-SAFETY-001;PAT-ALG-BITFIELD-001;PAT-FLOW-NESTED-LOOP-001;PAT-MEM-BYTE-ARRAY-001;PAT-MEM-MATRIX-ROW-MAJOR-001,COMPILE_ONLY,COMPILE_ONLY,PHYSICAL_BOARD_NOT_TESTED
